ticker,company,sector,cluster,perfil,mean_pred_return,mean_vol_21d,mean_drawdown
AXON,Axon Enterprise,Industrials,0,Arrojado,0.018994590202772173,0.028864423402962604,-0.1244813826019005
AXP,American Express,Financials,1,Conservador,0.0014245096559633871,0.01670998867821335,-0.05381486763104975
AZO,AutoZone,Consumer Discretionary,1,Conservador,0.0003479936618475589,0.014149891648804416,-0.055020357195428284
BA,Boeing,Industrials,2,Moderado,0.011112763257960859,0.021024802716861996,-0.10552547147189158
BAC,Bank of America,Financials,1,Conservador,0.0005699439817059072,0.0147627058185759,-0.05040555430065772
BALL,Ball Corporation,Materials,1,Conservador,0.003182547620930943,0.015393480726020087,-0.07701610941266729
BAX,Baxter International,Health Care,2,Moderado,0.014774197250366649,0.02174651605553724,-0.1392497877655144
BBY,Best Buy,Consumer Discretionary,2,Moderado,0.011988256094499418,0.022188954320781384,-0.09715223327584825
BDX,Becton Dickinson,Health Care,1,Conservador,0.0031086996018061352,0.014346658003676425,-0.07573969610461946
BEN,Franklin Resources,Financials,2,Moderado,0.006418401065819631,0.01829777937077775,-0.08344821504885401
BF-B,Brown–Forman,Consumer Staples,2,Moderado,0.013021433151291171,0.020656153505099622,-0.13166016470704464
BG,Bunge Global,Consumer Staples,1,Conservador,0.0057903500591141325,0.01732682007464563,-0.08114574720855376
BIIB,Biogen,Health Care,2,Moderado,0.0094378967900093,0.01851890516413954,-0.10874526057843384
BKNG,Booking Holdings,Consumer Discretionary,1,Conservador,0.004614589589163594,0.017548771122252112,-0.07157215270236962
BKR,Baker Hughes,Energy,1,Conservador,0.005474714394930366,0.019098289657572178,-0.07016841010156528
BLDR,Builders FirstSource,Industrials,0,Arrojado,0.02252312776334489,0.027820714309368222,-0.16214711325926323
BLK,BlackRock,Financials,1,Conservador,0.00042264800072149786,0.014554025265912825,-0.054710814753156645
BMY,Bristol Myers Squibb,Health Care,1,Conservador,0.004494676874195394,0.017019876796646547,-0.07766626604141388
BNY,BNY Mellon,Financials,1,Conservador,-0.003929400397727209,0.01269236618873863,-0.02413359539648138
BR,Broadridge Financial Solutions,Industrials,1,Conservador,0.0007783213657745472,0.012984639065718683,-0.06560193374702115
BRK-B,Berkshire Hathaway,Financials,1,Conservador,-0.005434071920497234,0.009910815931233496,-0.036892761602479
BRO,Brown & Brown,Financials,1,Conservador,0.002008307082319846,0.013902716597376201,-0.08092429761811985
BSX,Boston Scientific,Health Care,1,Conservador,0.0011117853955741666,0.014280560113759671,-0.06532094529923424
BX,Blackstone Inc.,Financials,2,Moderado,0.010752912901420067,0.020913982096080207,-0.10755981065019858
BXP,"BXP, Inc.",Real Estate,2,Moderado,0.009928098217580646,0.01920199537139168,-0.09209381982419708
C,Citigroup,Financials,1,Conservador,0.0019720876100765053,0.01779675115418163,-0.049781522415832086
CAG,Conagra Brands,Consumer Staples,2,Moderado,0.00568922699868072,0.01553403937108725,-0.09952301583824578
CAH,Cardinal Health,Health Care,1,Conservador,0.00021325612499894798,0.014855991270530148,-0.047309456263611056
CARR,Carrier Global,Industrials,2,Moderado,0.00710256656832532,0.019640406699378627,-0.09099572476515438
CASY,Casey's,Consumer Staples,1,Conservador,0.0003633769870470954,0.016468042211058728,-0.02649223918915745
CAT,Caterpillar Inc.,Industrials,1,Conservador,0.0017214430267699955,0.018362268965598342,-0.05697222867693322
CB,Chubb Limited,Financials,1,Conservador,-0.0038394351351801626,0.011414979415708735,-0.03751193071522767
CBOE,Cboe Global Markets,Financials,1,Conservador,-0.0008173017936824105,0.013700673688868894,-0.03883549899913067
CBRE,CBRE Group,Real Estate,1,Conservador,0.004568120092142366,0.017922577457138808,-0.06427283316555797
CCI,Crown Castle,Real Estate,1,Conservador,0.004337288312351277,0.015438632397055991,-0.08474015041943243
CCL,Carnival Corporation,Consumer Discretionary,2,Moderado,0.01723286607582433,0.02828342089665213,-0.11654468869603446
CDNS,Cadence Design Systems,Information Technology,2,Moderado,0.010482804914378665,0.02280080396422641,-0.09055450979610356
CDW,CDW Corporation,Information Technology,2,Moderado,0.008904250340936627,0.018328319235247876,-0.11367696324583838
CEG,Constellation Energy,Utilities,0,Arrojado,0.023457445973298314,0.03288656381865005,-0.1189078381546935
CF,CF Industries,Materials,2,Moderado,0.007203567861642449,0.02050786616607512,-0.08517382873263492
CFG,Citizens Financial Group,Financials,1,Conservador,0.004690492869152912,0.018627614239847275,-0.055042575441477164
CHD,Church & Dwight,Consumer Staples,1,Conservador,-0.000872639550915475,0.012157954020333112,-0.05806169180219464
CHRW,C.H. Robinson,Industrials,1,Conservador,0.006206106730970308,0.020322888300375066,-0.06478467218906366
CHTR,Charter Communications,Communication Services,0,Arrojado,0.018699538843274667,0.024180366274729793,-0.1596771812420881
CI,Cigna,Health Care,1,Conservador,0.006241922329600941,0.016874865374041818,-0.07386629745762137
CIEN,Ciena,Information Technology,2,Moderado,0.015411340689343083,0.0323334412471513,-0.08347812160812829
CINF,Cincinnati Financial,Financials,1,Conservador,-0.0014638262453574365,0.013765532396929953,-0.03770665509975948
CL,Colgate-Palmolive,Consumer Staples,1,Conservador,-0.002370738572173421,0.01179793919493189,-0.05982794037092809
CLX,Clorox,Consumer Staples,1,Conservador,0.00240858086802097,0.014003072029650652,-0.08772527748533901
CMCSA,Comcast,Communication Services,1,Conservador,0.004765475937562172,0.01589403718407286,-0.08724351115663855
CME,CME Group,Financials,1,Conservador,-0.003548186240436099,0.01130941977664907,-0.037855225801885696
CMG,Chipotle Mexican Grill,Consumer Discretionary,2,Moderado,0.010900631011670252,0.020152848756176744,-0.11990061989385292
CMI,Cummins,Industrials,1,Conservador,0.0009072860091291616,0.017633860588412792,-0.046901715311930964
CMS,CMS Energy,Utilities,1,Conservador,-0.004566295897370961,0.010396398809115965,-0.03270996192618695
CNC,Centene Corporation,Health Care,2,Moderado,0.0171616299738121,0.024807068417730407,-0.12763313933367787
CNP,CenterPoint Energy,Utilities,1,Conservador,-0.003443945950380672,0.011270422518488065,-0.035481146953640595
COF,Capital One,Financials,1,Conservador,0.006623120442056472,0.01997941604901211,-0.06972030883202886
COHR,Coherent Corp.,Information Technology,0,Arrojado,0.027247400190979765,0.04005764223818359,-0.10363530104676977
COIN,Coinbase,Financials,0,Arrojado,0.04723535794112227,0.04714234638907164,-0.2128205224411802
COO,Cooper Companies (The),Health Care,2,Moderado,0.007552561355891629,0.017735996576460356,-0.09318081441395859
COP,ConocoPhillips,Energy,1,Conservador,0.004557644583548483,0.017235819033029478,-0.07749931858038313
COR,Cencora,Health Care,1,Conservador,-0.001491658411948659,0.013161776897838597,-0.04793264282926606
COST,Costco,Consumer Staples,1,Conservador,-0.002697520535389903,0.012264060680537455,-0.04597682059242429
CPAY,Corpay,Financials,2,Moderado,0.007643491648222358,0.019623067913375276,-0.0789450296983025
CPB,Campbell's Company (The),Consumer Staples,2,Moderado,0.00666323146764597,0.016071658586982094,-0.10256428444642979
CPRT,Copart,Industrials,1,Conservador,0.004377460552189567,0.014327804539822032,-0.10047593702697145
CPT,Camden Property Trust,Real Estate,1,Conservador,-2.7795495392934727e-05,0.013208176935549367,-0.05039295972349681
CRH,CRH plc,Materials,1,Conservador,0.0035444493918902345,0.018564155639210465,-0.0621608971645602
CRL,Charles River Laboratories,Health Care,0,Arrojado,0.019937541195045563,0.026218063376830796,-0.14450635832134956
CRM,Salesforce,Information Technology,2,Moderado,0.011289707625887765,0.020987826532350495,-0.11488117326830677
CRWD,CrowdStrike,Information Technology,2,Moderado,0.017780818150956286,0.028193662959592355,-0.10784945060127275
CSCO,Cisco,Information Technology,1,Conservador,-0.0021794109045627547,0.013432930045299987,-0.04014889115187977
CSGP,CoStar Group,Real Estate,2,Moderado,0.013935256600658422,0.020474938987984397,-0.12913305158551056
CSX,CSX Corporation,Industrials,1,Conservador,-0.0005691673732619221,0.013566391481106808,-0.05593871386447604
CTAS,Cintas,Industrials,1,Conservador,-0.000876468927378057,0.012856961692213394,-0.053348025321471856
CTSH,Cognizant,Information Technology,1,Conservador,0.00398598134141917,0.015292793090780164,-0.09051460816201382
CTVA,Corteva,Materials,1,Conservador,0.0014522060843670957,0.015689950569402755,-0.05078582657737224
CVNA,Carvana,Consumer Discretionary,0,Arrojado,0.03540595643217144,0.04159632167066112,-0.11640730722607848
